ID,Nume,Prenume,Email,Economii,
1,sadf,asdfsa,asdfsa,,
2,wwer,qer,qwer,,
3,asdfsaf,asdfas,asdf,,
4,Radu,Sebastian,afasdf,,
5,Radu,Sebastain,adfasd@gmail.com,,
6,sadf,sadf,asdf,,
7,asdf,sadfas,safdasf,,
8,sadfsa,sadfs,sadfsad,,
9,rasd,adad,asdasd,,
10,radas,asdasd,sad@sadas,,
11,asd,,asd@ds,,
12,Radu,Sebastian,sebastian.radu@gmail.com,,
14,asdf,asdf,asdf@asdf,,
15,Radu,Sebastian,asdad@sad,,
17,Radu,Sebastian,asdsa@asd,0,
18,asd,asd,asd@asd,0,
19,radu,sebastian,s2@asd,0,
20,Ionescu,Ana,ana@gmail.com,9600,
1002,Radu,Sebastian,Sebastian.radu@gmail.com,960,
1003,Radu,Sebastian,asdad@asdjd,9990,
1004,asdf,asdf,asfd@adsf,1100,
,,,,,
